mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model,param_model__C,param_model__kernel,param_model__n_neighbors,param_model__weights,param_model__max_depth,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model_name
0.86537184715271,0.2414224159871133,0.07078452110290527,0.014354424874301063,"RandomForestClassifier(max_depth=14, n_estimators=261)",,,,,9.0,351.0,"{'model': RandomForestClassifier(max_depth=14, n_estimators=261), 'model__max_depth': 9, 'model__n_estimators': 351}",0.6301369863013698,0.6666666666666666,0.6666666666666666,0.5428571428571428,0.6578947368421053,0.6328444398667903,0.04694773127184623,80,RandomForestClassifier
0.014963388442993164,0.007727775777595952,0.0066048622131347655,3.065858985442408e-05,"LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000)",9.62172024349349,,,,,,"{'model': LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000), 'model__C': np.float64(9.62172024349349)}",0.6111111111111112,0.7096774193548387,0.6176470588235294,0.5753424657534246,0.704225352112676,0.6436006814311159,0.053721192658811555,26,LogisticRegression
0.009308433532714844,0.0005323597536710995,0.01403498649597168,0.009389890325077371,"LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000)",3.89677289689482,,,,,,"{'model': LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000), 'model__C': np.float64(3.89677289689482)}",0.6111111111111112,0.7096774193548387,0.6176470588235294,0.5753424657534246,0.704225352112676,0.6436006814311159,0.053721192658811555,26,LogisticRegression
0.8134641170501709,0.07635103158667421,0.06539363861083984,0.023134479308101176,"RandomForestClassifier(max_depth=14, n_estimators=261)",,,,,7.0,379.0,"{'model': RandomForestClassifier(max_depth=14, n_estimators=261), 'model__max_depth': 7, 'model__n_estimators': 379}",0.6301369863013698,0.65625,0.6470588235294118,0.5714285714285714,0.6756756756756757,0.6361100113870057,0.03552549260189125,77,RandomForestClassifier
0.9655227661132812,0.23053187033303918,0.05562186241149902,0.011319301875562715,"RandomForestClassifier(max_depth=14, n_estimators=261)",,,,,11.0,351.0,"{'model': RandomForestClassifier(max_depth=14, n_estimators=261), 'model__max_depth': 11, 'model__n_estimators': 351}",0.631578947368421,0.6666666666666666,0.6764705882352942,0.5915492957746479,0.7088607594936709,0.6550252515077402,0.040181122603498313,2,RandomForestClassifier
0.008770227432250977,0.0013966511361298926,0.01156458854675293,0.004882916366042411,"KNeighborsClassifier(n_neighbors=11, weights='distance')",,,14.0,uniform,,,"{'model': KNeighborsClassifier(n_neighbors=11, weights='distance'), 'model__n_neighbors': 14, 'model__weights': 'uniform'}",0.5507246376811594,0.6666666666666666,0.5666666666666667,0.5333333333333333,0.6666666666666666,0.5968115942028985,0.05800288978742783,100,KNeighborsClassifier
0.009106016159057618,0.0002990195062991586,0.006407499313354492,4.821127873452891e-05,"LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000)",2.9727350570408237,,,,,,"{'model': LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000), 'model__C': np.float64(2.9727350570408237)}",0.6111111111111112,0.7096774193548387,0.6176470588235294,0.5753424657534246,0.704225352112676,0.6436006814311159,0.053721192658811555,26,LogisticRegression
0.00911107063293457,0.000233977128023961,0.006416225433349609,0.00021486382879977805,"LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000)",0.7555064367977082,,,,,,"{'model': LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000), 'model__C': np.float64(0.7555064367977082)}",0.6111111111111112,0.7096774193548387,0.6176470588235294,0.5633802816901409,0.704225352112676,0.6412082446184593,0.05688117871671186,47,LogisticRegression
0.014125871658325195,0.0007801709404227542,0.010224866867065429,0.0018236609180991101,SVC(C=np.float64(3.1087830981676965)),4.334014807063696,rbf,,,,,"{'model': SVC(C=np.float64(3.1087830981676965)), 'model__C': np.float64(4.334014807063696), 'model__kernel': 'rbf'}",0.6216216216216216,0.7222222222222222,0.6086956521739131,0.6075949367088608,0.6753246753246753,0.6470918216102586,0.04499927100905921,14,SVC
0.008467769622802735,0.0006735888280343103,0.008706951141357422,0.0006493991425409654,"KNeighborsClassifier(n_neighbors=11, weights='distance')",,,10.0,distance,,,"{'model': KNeighborsClassifier(n_neighbors=11, weights='distance'), 'model__n_neighbors': 10, 'model__weights': 'distance'}",0.5671641791044776,0.676056338028169,0.6363636363636364,0.6153846153846154,0.7341772151898734,0.6458291968141543,0.05643351274059479,16,KNeighborsClassifier
0.01461796760559082,0.0003801210643165783,0.009539651870727538,0.0003737526603484609,SVC(C=np.float64(3.1087830981676965)),8.25461428454834,rbf,,,,,"{'model': SVC(C=np.float64(3.1087830981676965)), 'model__C': np.float64(8.25461428454834), 'model__kernel': 'rbf'}",0.5833333333333334,0.684931506849315,0.6176470588235294,0.6329113924050633,0.6666666666666666,0.6370979916155816,0.03591338637201965,73,SVC
0.008325958251953125,0.0006484648155814372,0.008920669555664062,0.00037339491730220624,"KNeighborsClassifier(n_neighbors=11, weights='distance')",,,5.0,uniform,,,"{'model': KNeighborsClassifier(n_neighbors=11, weights='distance'), 'model__n_neighbors': 5, 'model__weights': 'uniform'}",0.5882352941176471,0.6486486486486487,0.5846153846153846,0.5555555555555556,0.6933333333333334,0.614077643254114,0.04987445291029549,96,KNeighborsClassifier
0.009058952331542969,0.0004627083167200828,0.006479215621948242,0.0003694647847322864,"LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000)",6.069599747810114,,,,,,"{'model': LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000), 'model__C': np.float64(6.069599747810114)}",0.6111111111111112,0.7096774193548387,0.6176470588235294,0.5753424657534246,0.704225352112676,0.6436006814311159,0.053721192658811555,26,LogisticRegression
0.32936835289001465,0.06343573010670937,0.025618982315063477,0.0082343542669781,"RandomForestClassifier(max_depth=14, n_estimators=261)",,,,,9.0,140.0,"{'model': RandomForestClassifier(max_depth=14, n_estimators=261), 'model__max_depth': 9, 'model__n_estimators': 140}",0.6301369863013698,0.6666666666666666,0.6470588235294118,0.5866666666666667,0.6575342465753424,0.6376126779478914,0.0282191950787289,72,RandomForestClassifier
0.0145263671875,0.012235875667291734,0.014688730239868164,0.009380387113249403,"KNeighborsClassifier(n_neighbors=11, weights='distance')",,,9.0,uniform,,,"{'model': KNeighborsClassifier(n_neighbors=11, weights='distance'), 'model__n_neighbors': 9, 'model__weights': 'uniform'}",0.5915492957746479,0.6571428571428571,0.6461538461538462,0.59375,0.7341772151898734,0.6445546428522448,0.052122748616703574,21,KNeighborsClassifier
0.01334519386291504,0.01044706601961082,0.011152076721191406,0.004446956947664759,"KNeighborsClassifier(n_neighbors=11, weights='distance')",,,14.0,distance,,,"{'model': KNeighborsClassifier(n_neighbors=11, weights='distance'), 'model__n_neighbors': 14, 'model__weights': 'distance'}",0.5753424657534246,0.6666666666666666,0.6363636363636364,0.5625,0.7027027027027027,0.628715094297286,0.053303028861560665,83,KNeighborsClassifier
0.010191726684570312,0.000922307183148528,0.012400436401367187,0.01002702907573448,"LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000)",0.6455835028602364,,,,,,"{'model': LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000), 'model__C': np.float64(0.6455835028602364)}",0.6111111111111112,0.7096774193548387,0.6176470588235294,0.5633802816901409,0.704225352112676,0.6412082446184593,0.05688117871671186,47,LogisticRegression
0.022933340072631835,0.011177921223157743,0.014778852462768555,0.009668318510097612,SVC(C=np.float64(3.1087830981676965)),6.788412526636073,rbf,,,,,"{'model': SVC(C=np.float64(3.1087830981676965)), 'model__C': np.float64(6.788412526636073), 'model__kernel': 'rbf'}",0.5633802816901409,0.684931506849315,0.6086956521739131,0.6329113924050633,0.6666666666666666,0.6313170999570198,0.04302041245133062,82,SVC
0.026827573776245117,0.0016596807992665585,0.01767392158508301,0.012256718615924728,SVC(C=np.float64(3.1087830981676965)),6.012977877077271,linear,,,,,"{'model': SVC(C=np.float64(3.1087830981676965)), 'model__C': np.float64(6.012977877077271), 'model__kernel': 'linear'}",0.6111111111111112,0.7096774193548387,0.5970149253731343,0.5588235294117647,0.7246376811594203,0.6402529332820539,0.06525345030393764,57,SVC
0.020177555084228516,0.012176562062646263,0.009540796279907227,0.0011435383423872778,SVC(C=np.float64(3.1087830981676965)),5.712434258477011,rbf,,,,,"{'model': SVC(C=np.float64(3.1087830981676965)), 'model__C': np.float64(5.712434258477011), 'model__kernel': 'rbf'}",0.6027397260273972,0.684931506849315,0.6086956521739131,0.625,0.6753246753246753,0.6393383120750601,0.03422798284831803,69,SVC
0.01563858985900879,0.011153182078175308,0.01008467674255371,0.005601207056679617,"LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000)",9.727120953891037,,,,,,"{'model': LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000), 'model__C': np.float64(9.727120953891037)}",0.6111111111111112,0.7096774193548387,0.6176470588235294,0.5753424657534246,0.704225352112676,0.6436006814311159,0.053721192658811555,26,LogisticRegression
0.030170726776123046,0.0018401163938463613,0.008442926406860351,0.001434233150737717,SVC(C=np.float64(3.1087830981676965)),7.707850486168974,linear,,,,,"{'model': SVC(C=np.float64(3.1087830981676965)), 'model__C': np.float64(7.707850486168974), 'model__kernel': 'linear'}",0.6111111111111112,0.7096774193548387,0.5970149253731343,0.5588235294117647,0.7246376811594203,0.6402529332820539,0.06525345030393764,57,SVC
0.020122814178466796,0.010386598349516179,0.00963578224182129,0.0005574288094589277,SVC(C=np.float64(3.1087830981676965)),7.80967179954561,rbf,,,,,"{'model': SVC(C=np.float64(3.1087830981676965)), 'model__C': np.float64(7.80967179954561), 'model__kernel': 'rbf'}",0.5833333333333334,0.7027027027027027,0.6176470588235294,0.6329113924050633,0.6666666666666666,0.640652230786259,0.04099177102865103,51,SVC
0.021855545043945313,0.009617677805482927,0.011993694305419921,0.003023834381399715,SVC(C=np.float64(3.1087830981676965)),5.32732829381994,rbf,,,,,"{'model': SVC(C=np.float64(3.1087830981676965)), 'model__C': np.float64(5.32732829381994), 'model__kernel': 'rbf'}",0.6027397260273972,0.684931506849315,0.6086956521739131,0.625,0.6753246753246753,0.6393383120750601,0.03422798284831803,69,SVC
1.052277183532715,0.28108922477456405,0.06338872909545898,0.02589799726899026,"RandomForestClassifier(max_depth=14, n_estimators=261)",,,,,12.0,479.0,"{'model': RandomForestClassifier(max_depth=14, n_estimators=261), 'model__max_depth': 12, 'model__n_estimators': 479}",0.6111111111111112,0.6865671641791045,0.6666666666666666,0.5633802816901409,0.6753246753246753,0.6406099797943398,0.04654188078700241,55,RandomForestClassifier
0.00964980125427246,0.0009269574712753268,0.006681966781616211,0.00039078483464039513,"LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000)",2.0271920233539618,,,,,,"{'model': LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000), 'model__C': np.float64(2.0271920233539618)}",0.6111111111111112,0.7096774193548387,0.6176470588235294,0.5753424657534246,0.704225352112676,0.6436006814311159,0.053721192658811555,26,LogisticRegression
0.014975309371948242,0.012269247225672488,0.014598417282104491,0.010289020873902805,"KNeighborsClassifier(n_neighbors=11, weights='distance')",,,9.0,uniform,,,"{'model': KNeighborsClassifier(n_neighbors=11, weights='distance'), 'model__n_neighbors': 9, 'model__weights': 'uniform'}",0.5915492957746479,0.6571428571428571,0.6461538461538462,0.59375,0.7341772151898734,0.6445546428522448,0.052122748616703574,21,KNeighborsClassifier
0.008107757568359375,0.00042127559317447247,0.011114549636840821,0.006261872080206883,"KNeighborsClassifier(n_neighbors=11, weights='distance')",,,6.0,distance,,,"{'model': KNeighborsClassifier(n_neighbors=11, weights='distance'), 'model__n_neighbors': 6, 'model__weights': 'distance'}",0.5882352941176471,0.6388888888888888,0.5970149253731343,0.6197183098591549,0.7397260273972602,0.6367166891272171,0.05446331394183911,74,KNeighborsClassifier
0.014282703399658203,0.009214704562499067,0.01683073043823242,0.012540145699574519,"LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000)",2.5029222914887495,,,,,,"{'model': LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000), 'model__C': np.float64(2.5029222914887495)}",0.6111111111111112,0.7096774193548387,0.6176470588235294,0.5753424657534246,0.704225352112676,0.6436006814311159,0.053721192658811555,26,LogisticRegression
